Match,Team_1,Team_2,Player_of_the_Match,Venue,City,Match_info,Score_Card
SUNRISERS HYDERABAD VS RAJASTHAN ROYALS,SH,RR,Bhuvneshwar Kumar,Rajiv Gandhi International Stadium,Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary//91587/srh-vs-rr-50th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91587/srh-vs-rr-50th-match-indian-premier-league-2024
MUMBAI INDIANS VS KOLKATA KNIGHT RIDERS,MI,KKR,Venkatesh Iyer,Wankhede Stadium,Mumbai,https://www.cricbuzz.com/live-cricket-full-commentary//91596/mi-vs-kkr-51st-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91596/mi-vs-kkr-51st-match-indian-premier-league-2024
ROYAL CHALLENGERS BENGALURU VS GUJARAT TITANS,RCB,GT,Mohammed Siraj,M.Chinnaswamy Stadium,Bengaluru,https://www.cricbuzz.com/live-cricket-full-commentary//91600/rcb-vs-gt-52nd-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91600/rcb-vs-gt-52nd-match-indian-premier-league-2024
PUNJAB KINGS VS CHENNAI SUPER KINGS,PK,CSK,Ravindra Jadeja,Himachal Pradesh Cricket Association Stadium,Dharamsala,https://www.cricbuzz.com/live-cricket-full-commentary//91609/pbks-vs-csk-53rd-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91609/pbks-vs-csk-53rd-match-indian-premier-league-2024
LUCKNOW SUPER GIANTS VS KOLKATA KNIGHT RIDERS,LSG,KKR,Sunil Narine,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,https://www.cricbuzz.com/live-cricket-full-commentary//91618/lsg-vs-kkr-54th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91618/lsg-vs-kkr-54th-match-indian-premier-league-2024
MUMBAI INDIANS VS SUNRISERS HYDERABAD,MI,SH,Suryakumar Yadav,Wankhede Stadium,Mumbai,https://www.cricbuzz.com/live-cricket-full-commentary//91623/mi-vs-srh-55th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91623/mi-vs-srh-55th-match-indian-premier-league-2024
DELHI CAPITALS VS RAJASTHAN ROYALS,DC,RR,Kuldeep Yadav,Arun Jaitley Stadium,Delhi,https://www.cricbuzz.com/live-cricket-full-commentary//91632/dc-vs-rr-56th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91632/dc-vs-rr-56th-match-indian-premier-league-2024
SUNRISERS HYDERABAD VS LUCKNOW SUPER GIANTS,SH,LSG,Travis Head,Rajiv Gandhi International Stadium,Hyderabad,https://www.cricbuzz.com/live-cricket-full-commentary//91641/srh-vs-lsg-57th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91641/srh-vs-lsg-57th-match-indian-premier-league-2024
PUNJAB KINGS VS ROYAL CHALLENGERS BENGALURU,PK,RCB,Virat Kohli,Himachal Pradesh Cricket Association Stadium,Dharamsala,https://www.cricbuzz.com/live-cricket-full-commentary//91645/pbks-vs-rcb-58th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91645/pbks-vs-rcb-58th-match-indian-premier-league-2024
GUJARAT TITANS VS CHENNAI SUPER KINGS,GT,CSK,Shubman Gill,Narendra Modi Stadium,Ahmedabad,https://www.cricbuzz.com/live-cricket-full-commentary//91650/gt-vs-csk-59th-match-indian-premier-league-2024,https://www.cricbuzz.com/live-cricket-scorecard//91650/gt-vs-csk-59th-match-indian-premier-league-2024
