Match_id,Team,Opposite_Team,Innings,Batsman,Dismissal Type,Fielder,Bowler,Runs,Balls,Boundaries,Sixes,StrikeRate
55,SH,M,1,Nitish Reddy,Catch,Anshul Kamboj,Hardik Pandya,20,15,2,0,133.33
55,SH,M,1,Klaasen (wk),Bowled,-,Chawla,2,4,0,0,50.00
55,SH,M,1,Marco Jansen,Bowled,-,Hardik Pandya,17,12,1,1,141.67
55,SH,M,1,Shahbaz Ahmed,Catch,Suryakumar Yadav,Hardik Pandya,10,12,0,0,83.33
55,SH,M,1,Abdul Samad,lbw,-,Chawla,3,4,0,0,75.00
55,SH,M,1,Cummins (c),Not out,-,-,35,17,2,2,205.88
55,SH,M,1,Sanvir Singh,Not out,-,-,8,7,0,0,114.29
56,DC,RR,1,Jake Fraser-McGurk,Catch,Donovan Ferreira,Ashwin,50,20,7,3,250.00
56,DC,RR,1,Abishek Porel,Catch,Sandeep Sharma,Ashwin,65,36,7,3,180.56
56,DC,RR,1,Shai Hope,Run out,Sandeep Sharma,-,1,1,0,0,100.00
56,DC,RR,1,Axar,Catch,Riyan Parag,Ashwin,15,10,1,1,150.00
56,DC,RR,1,Pant (c & wk),Catch,Boult,Chahal,15,13,0,1,115.38
56,DC,RR,1,Tristan Stubbs,lbw,-,Sandeep Sharma,41,20,3,3,205.00
56,DC,RR,1,Gulbadin,Catch,Ashwin,Boult,19,15,1,1,126.67
56,DC,RR,1,Rasikh Salam,Run out,Shubham Dubey/Samson,-,9,3,2,0,300.00
56,DC,RR,1,Kuldeep Yadav,Not out,-,-,5,2,1,0,250.00
57,LSG,SH,1,Rahul (c & wk),Catch,T Natarajan,Cummins,29,33,1,1,87.88
57,LSG,SH,1,de Kock,Catch,Nitish Reddy,Bhuvneshwar,2,5,0,0,40.00
57,LSG,SH,1,Stoinis,Catch,Sanvir Singh,Bhuvneshwar,3,5,0,0,60.00
57,LSG,SH,1,Krunal Pandya,Run out,Cummins,-,24,21,0,2,114.29
57,LSG,SH,1,Pooran,Not out,-,-,48,26,6,1,184.62
57,LSG,SH,1,Ayush Badoni,Not out,-,-,55,30,9,0,183.33
58,RCB,PK,1,Kohli,Catch,Rossouw,Arshdeep Singh,92,47,7,6,195.74
58,RCB,PK,1,du Plessis (c),Catch,Shashank Singh,Vidhwath Kaverappa,9,7,2,0,128.57
58,RCB,PK,1,Will Jacks,Catch,Harshal Patel,Vidhwath Kaverappa,12,7,1,1,171.43
58,RCB,PK,1,Rajat Patidar,Catch,Bairstow,Sam Curran,55,23,3,6,239.13
58,RCB,PK,1,Green,Catch,Sam Curran,Harshal Patel,46,27,5,1,170.37
58,RCB,PK,1,Karthik (wk),Catch,Sam Curran,Harshal Patel,18,7,1,2,257.14
58,RCB,PK,1,Lomror,Bowled,-,Harshal Patel,0,2,0,0,0.00
58,RCB,PK,1,Swapnil Singh,Not out,-,-,1,1,0,0,100.00
59,GT,CSK,1,Sai Sudharsan,Catch,Shivam Dube,Tushar Deshpande,103,51,5,7,201.96
59,GT,CSK,1,Shubman Gill (c),Catch,Ravindra Jadeja,Tushar Deshpande,104,55,9,6,189.09
59,GT,CSK,1,David Miller,Not out,-,-,16,11,1,0,145.45
59,GT,CSK,1,Shahrukh Khan,Run out,Rachin Ravindra/Simarjeet Singh,-,2,3,0,0,66.67
60,KKR,M,1,Salt (wk),Catch,Anshul Kamboj,N Thushara,6,5,0,1,120.00
60,KKR,M,1,Narine,Bowled,-,Bumrah,0,1,0,0,0.00
60,KKR,M,1,Venkatesh Iyer,Catch,Suryakumar Yadav,Chawla,42,21,6,2,200.00
60,KKR,M,1,Shreyas Iyer (c),Bowled,-,Anshul Kamboj,7,10,1,0,70.00
60,KKR,M,1,Nitish Rana,Run out,Tilak Varma,-,33,23,4,1,143.48
60,KKR,M,1,Russell,Catch,Anshul Kamboj,Chawla,24,14,2,2,171.43
60,KKR,M,1,Rinku Singh,Catch,Ishan Kishan,Bumrah,20,12,0,2,166.67
60,KKR,M,1,Ramandeep Singh,Not out,-,-,17,8,1,1,212.50
60,KKR,M,1,Starc,Not out,-,-,2,2,0,0,100.00
61,RR,CSK,1,Yashasvi Jaiswal,Catch,Ruturaj Gaikwad,Simarjeet Singh,24,21,3,1,114.29
61,RR,CSK,1,Jos Buttler,Catch,Tushar Deshpande,Simarjeet Singh,21,25,2,0,84.00
61,RR,CSK,1,Samson (c & wk),Catch,Ruturaj Gaikwad,Simarjeet Singh,15,19,0,0,78.95
61,RR,CSK,1,Riyan Parag,Not out,-,-,47,35,1,3,134.29
61,RR,CSK,1,Dhruv Jurel,Catch,Thakur,Tushar Deshpande,28,18,1,2,155.56
61,RR,CSK,1,Shubham Dubey,Catch,Shivam Dube,Tushar Deshpande,0,1,0,0,0.00
61,RR,CSK,1,Ashwin,Not out,-,-,1,1,0,0,100.00
62,RCB,DC,1,Kohli,Catch,Abishek Porel,Ishant,27,13,1,3,207.69
62,RCB,DC,1,du Plessis (c),Catch,Jake Fraser-McGurk,Mukesh Kumar,6,7,1,0,85.71
62,RCB,DC,1,Will Jacks,Catch,Axar,Kuldeep Yadav,41,29,3,2,141.38
62,RCB,DC,1,Rajat Patidar,Catch,Axar,Rasikh Salam,52,32,3,3,162.50
62,RCB,DC,1,Green,Not out,-,-,32,24,1,2,133.33
62,RCB,DC,1,Lomror,Catch,Abishek Porel,Khaleel Ahmed,13,8,0,1,162.50
62,RCB,DC,1,Karthik (wk),Catch,Kuldeep Yadav,Khaleel Ahmed,0,2,0,0,0.00
62,RCB,DC,1,Swapnil Singh,Catch,Kushagra,Rasikh Salam,0,1,0,0,0.00
62,RCB,DC,1,Karn Sharma,Run out,Shai Hope/Mukesh Kumar,-,6,4,1,0,150.00
62,RCB,DC,1,Siraj,Run out,Abishek Porel/Mukesh Kumar,-,0,0,0,0,0.00
64,DC,LSG,1,Jake Fraser-McGurk,Catch,Naveen-ul-Haq,Arshad Khan,0,2,0,0,0.00
64,DC,LSG,1,Abishek Porel,Catch,Pooran,Naveen-ul-Haq,58,33,5,4,175.76
64,DC,LSG,1,Shai Hope,Catch,Rahul,Ravi Bishnoi,38,27,3,2,140.74
64,DC,LSG,1,Pant (c & wk),Catch,Deepak Hooda,Naveen-ul-Haq,33,23,5,0,143.48
64,DC,LSG,1,Tristan Stubbs,Not out,-,-,57,25,3,4,228.00
64,DC,LSG,1,Axar,Not out,-,-,14,10,2,0,140.00
65,RR,PK,1,Yashasvi Jaiswal,Bowled,-,Sam Curran,4,4,1,0,100.00
65,RR,PK,1,Kohler-Cadmore,Catch,Jitesh Sharma,Rahul Chahar,18,23,2,1,78.26
65,RR,PK,1,Samson (c & wk),Catch,Rahul Chahar,Nathan Ellis,18,15,3,0,120.00
65,RR,PK,1,Riyan Parag,lbw,-,Harshal Patel,48,34,6,0,141.18
65,RR,PK,1,Ashwin,Catch,Shashank Singh,Arshdeep Singh,28,19,3,1,147.37
65,RR,PK,1,Dhruv Jurel,Catch,Harpreet Brar,Sam Curran,0,1,0,0,0.00
65,RR,PK,1,Rovman Powell,Caught and Bowled,-,Rahul Chahar,4,5,1,0,80.00
65,RR,PK,1,Donovan Ferreira,Catch,Rossouw,Harshal Patel,7,8,0,0,87.50
65,RR,PK,1,Boult,Run out,Shashank Singh/Bairstow,-,12,9,2,0,133.33
65,RR,PK,1,Avesh Khan,Not out,-,-,3,2,0,0,150.00
67,LSG,M,1,Rahul (c & wk),Catch,N Thushara,Chawla,55,41,3,3,134.15
67,LSG,M,1,Padikkal,lbw,-,N Thushara,0,1,0,0,0.00
67,LSG,M,1,Stoinis,lbw,-,Chawla,28,22,5,0,127.27
67,LSG,M,1,Deepak Hooda,Catch,Nehal Wadhera,Chawla,11,9,1,0,122.22
67,LSG,M,1,Pooran,Catch,Suryakumar Yadav,N Thushara,75,29,5,8,258.62
67,LSG,M,1,Arshad Khan,Catch,Nehal Wadhera,N Thushara,0,1,0,0,0.00
67,LSG,M,1,Ayush Badoni,Not out,-,-,22,10,1,2,220.00
67,LSG,M,1,Krunal Pandya,Not out,-,-,12,7,1,1,171.43
68,RCB,CSK,1,Kohli,Catch,Daryl Mitchell,Santner,47,29,3,4,162.07
68,RCB,CSK,1,du Plessis (c),Run out,Santner,-,54,39,3,3,138.46
68,RCB,CSK,1,Rajat Patidar,Catch,Daryl Mitchell,Thakur,41,23,2,4,178.26
68,RCB,CSK,1,Green,Not out,-,-,38,17,3,3,223.53
68,RCB,CSK,1,Karthik (wk),Catch,Dhoni,Tushar Deshpande,14,6,1,1,233.33
68,RCB,CSK,1,Maxwell,Catch,Dhoni,Thakur,16,5,2,1,320.00
68,RCB,CSK,1,Lomror,Not out,-,-,0,1,0,0,0.00
69,PK,SH,1,Atharva Taide,Catch,Sanvir Singh,T Natarajan,46,27,5,2,170.37
69,PK,SH,1,Prabhsimran,Catch,Klaasen,V Viyaskanth,71,45,7,4,157.78
69,PK,SH,1,Rossouw,Catch,Abdul Samad,Cummins,49,24,3,4,204.17
69,PK,SH,1,Shashank Singh,Run out,Nitish Reddy/Klaasen,-,2,4,0,0,50.00
69,PK,SH,1,Jitesh Sharma (c & wk),Not out,-,-,32,15,2,2,213.33
69,PK,SH,1,Ashutosh Sharma,Catch,Sanvir Singh,T Natarajan,2,3,0,0,66.67
69,PK,SH,1,Shivam Singh,Not out,-,-,2,3,0,0,66.67
71,SH,KKR,1,Head,Bowled,-,Starc,0,2,0,0,0.00
71,SH,KKR,1,Abhishek Sharma,Catch,Russell,Vaibhav Arora,3,4,0,0,75.00
71,SH,KKR,1,Tripathi,Run out,Russell/Gurbaz,-,55,35,7,1,157.14
71,SH,KKR,1,Nitish Reddy,Catch,Gurbaz,Starc,9,10,1,0,90.00
