Match_id,Score,Team,Opposite_Team,Innings
20,Prithvi Shaw    b Bumrah  66 40 8 3 165.00,Delhi Capitals,Mumbai,2
20,David Warner    c Hardik Pandya b Romario Shepherd  10 8 1 1 125.00,Delhi Capitals,Mumbai,2
20,Abishek Porel    c Tim David b Bumrah  41 31 5 0 132.26,Delhi Capitals,Mumbai,2
20,Tristan Stubbs    not out  71 25 3 7 284.00,Delhi Capitals,Mumbai,2
20,Rishabh Pant (c & wk)    c Hardik Pandya b Gerald Coetzee  1 3 0 0 33.33,Delhi Capitals,Mumbai,2
20,Axar Patel    run out (Nabi/Ishan Kishan)  8 7 1 0 114.29,Delhi Capitals,Mumbai,2
20,Lalit Yadav    c Ishan Kishan b Gerald Coetzee  3 4 0 0 75.00,Delhi Capitals,Mumbai,2
20,Kumar Kushagra    c Tilak Varma b Gerald Coetzee  0 1 0 0 0.00,Delhi Capitals,Mumbai,2
20,Jhye Richardson    c Rohit b Gerald Coetzee  2 2 0 0 100.00,Delhi Capitals,Mumbai,2
21,Sai Sudharsan    c Ravi Bishnoi b Krunal Pandya  31 23 4 0 134.78,Gujarat Titans,Lucknow Super Giants,2
21,Shubman Gill (c)    b Yash Thakur  19 21 2 0 90.48,Gujarat Titans,Lucknow Super Giants,2
21,Kane Williamson    c and b Ravi Bishnoi  1 5 0 0 20.00,Gujarat Titans,Lucknow Super Giants,2
21,Sharath BR (wk)    c Ayush Badoni b Krunal Pandya  2 5 0 0 40.00,Gujarat Titans,Lucknow Super Giants,2
21,Vijay Shankar    c Rahul b Yash Thakur  17 17 0 1 100.00,Gujarat Titans,Lucknow Super Giants,2
21,Darshan Nalkande    c Yash Thakur b Krunal Pandya  12 11 0 1 109.09,Gujarat Titans,Lucknow Super Giants,2
21,Rahul Tewatia    c Pooran b Yash Thakur  30 25 2 2 120.00,Gujarat Titans,Lucknow Super Giants,2
21,Rashid Khan    c (sub)Deepak Hooda b Yash Thakur  0 3 0 0 0.00,Gujarat Titans,Lucknow Super Giants,2
21,Umesh Yadav    c de Kock b Naveen-ul-Haq  2 4 0 0 50.00,Gujarat Titans,Lucknow Super Giants,2
21,Spencer Johnson    not out  0 1 0 0 0.00,Gujarat Titans,Lucknow Super Giants,2
21,Noor Ahmad    c de Kock b Yash Thakur  4 2 1 0 200.00,Gujarat Titans,Lucknow Super Giants,2
