Match_id,Score,Team,Opposite_Team,Innings
43,Mohammad Nabi    c Shai Hope b Rasikh Salam  7 4 0 1 175.00,Mumbai,Delhi Capitals,2
43,Piyush Chawla    c Shai Hope b Mukesh Kumar  10 4 1 1 250.00,Mumbai,Delhi Capitals,2
43,Luke Wood    not out  9 3 0 1 300.00,Mumbai,Delhi Capitals,2
44,Yashasvi Jaiswal    c Ravi Bishnoi b Stoinis  24 18 3 1 133.33,Rajasthan Royals,Lucknow Super Giants,2
44,Jos Buttler    b Yash Thakur  34 18 4 1 188.89,Rajasthan Royals,Lucknow Super Giants,2
44,Sanju Samson (c & wk)    not out  71 33 7 4 215.15,Rajasthan Royals,Lucknow Super Giants,2
44,Riyan Parag    c Ayush Badoni b Amit Mishra  14 11 0 1 127.27,Rajasthan Royals,Lucknow Super Giants,2
44,Dhruv Jurel    not out  52 34 5 2 152.94,Rajasthan Royals,Lucknow Super Giants,2
45,Virat Kohli    not out  70 44 6 3 159.09,Royal Challengers Bengaluru,Gujarat Titans,2
45,Faf du Plessis (c)    c (sub)Vijay Shankar b Sai Kishore  24 12 1 3 200.00,Royal Challengers Bengaluru,Gujarat Titans,2
45,Will Jacks    not out  100 41 5 10 243.90,Royal Challengers Bengaluru,Gujarat Titans,2
46,Travis Head    c Daryl Mitchell b Tushar Deshpande  13 7 1 1 185.71,Sunrisers Hyderabad,Chennai Super Kings,2
46,Abhishek Sharma    c Daryl Mitchell b Tushar Deshpande  15 9 1 1 166.67,Sunrisers Hyderabad,Chennai Super Kings,2
46,Anmolpreet Singh    c Moeen b Tushar Deshpande  0 1 0 0 0.00,Sunrisers Hyderabad,Chennai Super Kings,2
46,Aiden Markram    b Matheesha Pathirana  32 26 4 0 123.08,Sunrisers Hyderabad,Chennai Super Kings,2
