Match_id,Bowling,Team,Opposite_Team,Innings
4,Sandeep Sharma   3 0 22 1 0 1 7.30,Rajasthan Royals,Lucknow Super Giants,2
5,Azmatullah Omarzai   3 0 27 2 0 2 9.00,Gujarat Titans,Mumbai,2
5,Umesh Yadav   3 0 31 2 0 0 10.30,Gujarat Titans,Mumbai,2
5,Rashid Khan   4 0 23 0 0 0 5.80,Gujarat Titans,Mumbai,2
5,Ravisrinivasan Sai Kishore   4 0 24 1 0 0 6.00,Gujarat Titans,Mumbai,2
5,Spencer Johnson   2 0 25 2 0 0 12.50,Gujarat Titans,Mumbai,2
5,Mohit Sharma   4 0 32 2 0 1 8.00,Gujarat Titans,Mumbai,2
6,Sam Curran   3 0 30 1 0 0 10.00,Punjab Kings,Royal Challengers Bengaluru,2
6,Arshdeep Singh   3.2 0 40 0 0 3 12.00,Punjab Kings,Royal Challengers Bengaluru,2
6,Kagiso Rabada   4 0 23 2 0 1 5.80,Punjab Kings,Royal Challengers Bengaluru,2
6,Harpreet Brar   4 0 13 2 0 0 3.20,Punjab Kings,Royal Challengers Bengaluru,2
6,Harshal Patel   4 0 45 1 0 3 11.20,Punjab Kings,Royal Challengers Bengaluru,2
6,Rahul Chahar   1 0 16 0 0 0 16.00,Punjab Kings,Royal Challengers Bengaluru,2
7,Deepak Chahar   4 0 28 2 0 3 7.00,Chennai Super Kings,Gujarat Titans,2
7,Mustafizur Rahman   4 0 30 2 0 0 7.50,Chennai Super Kings,Gujarat Titans,2
7,Tushar Deshpande   4 0 21 2 0 0 5.20,Chennai Super Kings,Gujarat Titans,2
7,Ravindra Jadeja   2 0 15 0 0 0 7.50,Chennai Super Kings,Gujarat Titans,2
7,Daryl Mitchell   2 0 18 1 0 1 9.00,Chennai Super Kings,Gujarat Titans,2
7,Matheesha Pathirana   4 0 29 1 0 5 7.20,Chennai Super Kings,Gujarat Titans,2
8,Bhuvneshwar Kumar   4 0 53 0 0 0 13.20,Sunrisers Hyderabad,Mumbai,2
8,Jaydev Unadkat   4 0 47 2 0 2 11.80,Sunrisers Hyderabad,Mumbai,2
8,Shahbaz Ahmed   3 0 39 1 0 0 13.00,Sunrisers Hyderabad,Mumbai,2
8,Pat Cummins (c)   4 0 35 2 0 1 8.80,Sunrisers Hyderabad,Mumbai,2
8,Umran Malik   1 0 15 0 0 1 15.00,Sunrisers Hyderabad,Mumbai,2
8,Mayank Markande   4 0 52 0 1 1 13.00,Sunrisers Hyderabad,Mumbai,2
9,Trent Boult   3 0 29 0 0 0 9.70,Rajasthan Royals,Delhi Capitals,2
9,Nandre Burger   3 0 29 2 0 0 9.70,Rajasthan Royals,Delhi Capitals,2
9,Ravichandran Ashwin   3 0 30 0 0 1 10.00,Rajasthan Royals,Delhi Capitals,2
9,Avesh Khan   4 0 29 1 0 1 7.20,Rajasthan Royals,Delhi Capitals,2
9,Yuzvendra Chahal   3 0 19 2 0 0 6.30,Rajasthan Royals,Delhi Capitals,2
9,Sandeep Sharma   4 0 36 0 0 2 9.00,Rajasthan Royals,Delhi Capitals,2
10,Mohammed Siraj   3 0 46 0 0 2 15.30,Royal Challengers Bengaluru,Kolkata Knight Riders,2
10,Yash Dayal   4 0 46 1 0 6 11.50,Royal Challengers Bengaluru,Kolkata Knight Riders,2
10,Alzarri Joseph   2 0 34 0 0 0 17.00,Royal Challengers Bengaluru,Kolkata Knight Riders,2
10,Mayank Dagar   2.5 0 23 1 0 0 8.10,Royal Challengers Bengaluru,Kolkata Knight Riders,2
10,Vijaykumar Vyshak   4 0 23 1 0 0 5.80,Royal Challengers Bengaluru,Kolkata Knight Riders,2
10,Cameron Green   1 0 7 0 0 0 7.00,Royal Challengers Bengaluru,Kolkata Knight Riders,2
11,Manimaran Siddharth   2 0 21 0 0 0 10.50,Lucknow Super Giants,Punjab Kings,2
11,Naveen-ul-Haq   4 0 43 0 0 1 10.80,Lucknow Super Giants,Punjab Kings,2
11,Mohsin Khan   4 0 34 2 0 1 8.50,Lucknow Super Giants,Punjab Kings,2
